Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1938,1938-06-05 17:30,First round,Stade de la Meinau,Strasbourg,Brazil,6,5,Poland,Brazil win after extra time,13452,0,0,EKLIND IVAN (SWE),POISSANT LOUIS (FRA),KISSENBERGER ERNEST (FRA),206,1150,BRA,POL
1938,1938-06-05 18:30,First round,Cavee Verte,Le Havre,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time,11000,0,0,LECLERCQ LUCIEN (FRA),OLIVE D. (FRA),SDEZ VICTOR (FRA),206,1172,TCH,NED
1938,1938-06-09 18:00,First round,Stade Municipal,Toulouse,Cuba,2,1,Romania,,8000,0,1,BIRLEM ALFRED (GER),CAPDEVILLE PIERRE (FRA),MARENCO PAUL (FRA),206,1157,CUB,ROU
1938,1938-06-09 18:00,First round,Parc des Princes,Paris,Switzerland,4,2,Germany,,20025,1,2,EKLIND IVAN (SWE),BAERT LOUIS (BEL),VAN MOORSEL JOHANNES (NED),206,1166,SUI,GER
1938,1938-06-12 17:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,1,1,Czechoslovakia,,22021,0,0,VON HERTZKA PAL (HUN),SCARPI GIUSEPPE (ITA),DE LA SALLE CHARLES (FRA),429,1152,BRA,TCH
1938,1938-06-12 17:00,Quarter-finals,Victor Boucquey,Lille,Hungary,2,0,Switzerland,,15000,1,0,BARLASSINA RINALDO (ITA),BERANEK ALOIS (AUT),BOUTOURE D. (FRA),429,1175,HUN,SUI
1938,1938-06-12 17:00,Quarter-finals,Fort Carree,Antibes,Sweden,8,0,Cuba,,7000,4,0,KRIST GUSTAV (TCH),WEINGARTNER KARL (AUT),SDEZ VICTOR (FRA),429,1158,SWE,CUB
1938,1938-06-12 17:00,Quarter-finals,Stade Olympique,Colombes,Italy,3,1,France,,58455,1,1,BAERT LOUIS (BEL),WUETHRICH HANS (SUI),EKLIND IVAN (SWE),429,1164,ITA,FRA
1938,1938-06-14 18:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,2,1,Czechoslovakia,,18141,0,1,CAPDEVILLE GEORGES (FRA),MARENCO PAUL (FRA),KISSENBERGER ERNEST (FRA),429,1153,BRA,TCH
1938,1938-06-16 18:00,Semi-finals,Parc des Princes,Paris,Hungary,5,1,Sweden,,20000,3,1,LECLERCQ LUCIEN (FRA),VAN MOORSEL JOHANNES (NED),SCARPI GIUSEPPE (ITA),3489,1176,HUN,SWE
1938,1938-06-16 18:00,Semi-finals,Stade V�lodrome,Marseilles,Italy,2,1,Brazil,,33000,0,0,WUETHRICH HANS (SUI),BERANEK ALOIS (AUT),MARENCO PAUL (FRA),3489,1149,ITA,BRA
